wavelength_micron,crosssection_cm2
2.649973724512799,9.57384661543621e-21
2.669975502986564,5.081314398969405e-20
2.689977575838796,1.49244294002472e-20
2.7099768010223535,1.6284815505396085e-20
2.729977505562403,2.879166379056807e-20
2.7499768760728895,2.1461351283844807e-20
2.769976028201161,1.4723257054145338e-20
2.7899762594593085,7.470474543418133e-21
2.809975247053421,6.804971616347277e-21
2.8299746718217493,2.858840288028389e-21
2.8499765288634045,1.5596461358370042e-21
2.869978932379399,8.454960392771497e-22
2.889975930329473,3.6510441057353963e-22
2.9099740979103226,7.055927653676938e-22
2.929976224072278,3.586121763074724e-22
2.9499767265102395,3.4281459875211697e-22
2.969978709908769,2.8356201708446614e-22
2.989981082851624,1.5431930711781311e-22
3.0099783644792675,1.345432617957178e-22
3.0299786891797256,2.274277257192919e-22
3.0499814317293974,2.7295196397301487e-22
3.069981410464106,1.6854255801667232e-22
3.0899780505583627,2.747158967276841e-22
3.1099757552215506,2.6439211845186644e-22
3.1299792512497837,1.5190729241052921e-22
3.14997876461608,1.1698179252555939e-22
3.169979269450502,9.659067766885799e-24
3.1899809388508147,1.6351834696315471e-22
3.209979022477822,3.5825359315805474e-22
3.2299790192625473,2.7034290649250615e-22
3.249981577298237,1.4252915987162228e-22
3.2699821114395426,2.8322177142121195e-22
3.2899813900427484,2.1789431037633774e-22
3.309980267266288,1.521786122527218e-22
3.3299798182627294,1.0793810307346527e-22
3.349981211185339,7.16113547795832e-23
3.3699801543513406,4.8271259053142915e-23
3.389977965513901,1.4735703007075343e-23
3.4099761536875537,1.680182202020288e-23
3.4299763780819075,1.8615732445885503e-24
3.4499804974440793,3.448281439340389e-24
3.4699844964958877,6.977405541376641e-25
3.489984312339434,6.036181494423953e-25
3.509981913919516,2.5348046015584925e-25
3.5299794814499723,3.515952279890732e-25
3.5499793637368198,4.729063046633128e-25
3.569977744823304,5.595012998607795e-26
3.5899771783115635,2.0371587189794276e-25
3.609980395603257,2.395295913895402e-26
3.6299837571471785,9.256920793998838e-26
3.649983541774697,7.87391898813909e-26
3.6699826933558053,3.0439657034574333e-26
3.6899843442291647,7.783689282929813e-27
3.70998497362664,4.078615278719582e-26
3.729980983981613,2.675244702916694e-26
3.7499827883308066,1.1119668376554517e-26
3.769987036840861,2.293370628800479e-27
3.7899832130326945,8.097139646665561e-27
3.809982161151013,1.4859748673872212e-26
3.8299805678909062,8.58729258456475e-27
3.849982525178492,6.601433088424419e-27
3.8699847862441548,4.696415460126094e-27
3.8899841397833894,1.4893916615707915e-26
3.909984861126404,5.064798739735841e-27
3.9299838142981653,9.990366787237836e-27
3.949985560762907,8.678136900458234e-27
3.9699870465454232,1.341881061844451e-26
3.989985155266548,1.3181046396534334e-26
4.009984761524802,1.4737652845590036e-26
4.029982838677867,2.1897124779830716e-26
4.049984568249854,2.4821801554229608e-26
4.069987019996978,8.151408751635434e-27
4.08998731407592,1.1434094378490256e-26
4.109990864218073,3.85172300638532e-26
4.129986353588031,1.8806387577725322e-26
4.149979301669555,2.8777479930673684e-26
4.169984183869407,2.483373663003539e-26
4.18998971331795,2.5734169536261333e-26
4.209984300120568,5.802379253190387e-26
4.229982761714728,4.5271421213907917e-26
4.249982447981523,1.3424238088439352e-25
4.269980714808096,1.621251541971797e-25
4.2899840273079555,2.58980479391564e-25
4.309989870314184,4.976002774510733e-25
4.329986291792828,5.644455241222674e-25
4.349979924675994,7.247416648137112e-25
4.369987176643235,1.2068255708218955e-24
4.389986563647526,1.906140206445197e-24
4.409985128803121,8.0665380537880575e-25
4.429990074501872,3.641740340533605e-24
4.449989227649545,2.6490389661759926e-24
4.469989937171336,1.3672883655045943e-24
4.489989799478358,2.1019355114473335e-24
4.5099863677847365,2.237967351692724e-24
4.5299874276146666,7.455706639018259e-24
4.549990688048068,2.481335123356706e-24
4.569983420123917,5.8963889152188955e-24
4.589984105265749,2.8400236736436688e-24
4.60999057402032,2.3509793113741596e-24
4.6299900070980184,1.704842658281484e-23
4.649990736818313,1.0504463568306243e-23
4.669990538390398,2.805188197901478e-23
4.689987148626267,3.311146681371157e-23
4.709989373650168,8.191584981738288e-24
4.729995125344663,4.455573969991186e-23
4.749991045321264,6.751312725654702e-24
4.769986111520944,1.4853175463929428e-23
4.789989614196304,1.3563930647370955e-22
4.809988055311412,1.8278709052460267e-23
4.829979230091668,2.903765088193628e-23
4.849984388326579,3.661191941297224e-22
4.869989897543551,1.2429085814396043e-24
4.889981800656557,3.1158664238373644e-22
4.909981828669493,2.612229526462222e-23
4.929988126124067,3.42479466462601e-23
4.949986604141466,8.506797040538811e-22
4.969987446894536,4.0528391504327783e-23
4.989502567973788,4.9693258578189605e-23
